order_id,customer_id,customer_name,customer_email,age,gender,country,order_date,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,payment_method,shipping_method,order_status,rating,month,is_discounted,order_month,order_dayofweek,revenue_per_unit,is_returned,is_cancelled,year,quarter,week_of_year,is_weekend,days_since_start,month_sin,month_cos,day_sin,day_cos
ORD-01496,CUST-0189,Arthur Ellis,fgutierrez@example.net,64.0,Male,Mexico,2023-06-01,PRD-3413,USB Hub,Electronics,1,1068.04,0,1068.04,Debit Card,Overnight,Delivered,4.0,2023-06,0,6.0,3.0,1068.04,0,0,2023.0,2.0,22,0,516.0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
ORD-00544,CUST-0275,Michael Green,Unknown,31.0,Male,Mexico,2023-12-20,PRD-4145,Python for Beginners,Books,5,13.1,0,65.5,Debit Card,Express,Delivered,,2023-12,0,12.0,2.0,13.1,0,0,2023.0,4.0,51,0,718.0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
ORD-01269,CUST-0229,Kimberly Dudley,Unknown,30.0,Female,Canada,2023-10-12,PRD-4148,Data Science Handbook,Books,4,28.69,25,86.07000000000001,Debit Card,Free Shipping,Returned,5.0,2023-10,1,10.0,3.0,21.517500000000002,1,0,2023.0,4.0,41,0,649.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
ORD-00529,CUST-0115,Anna Reilly,robert33@example.org,60.0,Male,Colombia,2023-10-24,PRD-9948,Jacket,Clothing,1,29.43,0,29.43,Credit Card,Overnight,Delivered,,2023-10,0,10.0,1.0,29.43,0,0,2023.0,4.0,43,0,661.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
ORD-01095,CUST-0352,Robert Hanson,patriciagilbert@example.org,41.0,Male,USA,2023-05-07,PRD-2122,Coffee Maker,Home & Kitchen,4,125.88,10,453.168,Cash On Delivery,Free Shipping,Delivered,4.0,2023-05,1,5.0,6.0,113.292,0,0,2023.0,2.0,18,1,491.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
ORD-00808,CUST-0010,Audrey Terrell,hallison@example.com,20.0,Male,Argentina,2022-08-01,PRD-3710,Protein Powder,Sports,2,169.83,20,271.728,Paypal,Express,Delivered,2.0,2022-08,1,8.0,0.0,135.864,0,0,2022.0,3.0,31,0,212.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
ORD-01377,CUST-0255,Arthur Shields,amanda81@example.org,33.0,Male,Germany,2022-08-30,PRD-8929,Running Shoes,Sports,4,116.52,0,466.08,Bank Transfer,Unknown,Shipped,1.0,2022-08,0,8.0,1.0,116.52,0,0,2022.0,3.0,35,0,241.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
ORD-00603,CUST-0195,Steven Chang,iwest@example.org,26.0,Male,USA,2023-03-25,PRD-2758,Tablet,Electronics,2,1063.92,5,2021.448,Cash On Delivery,Free Shipping,Cancelled,4.0,2023-03,1,3.0,5.0,1010.724,0,1,2023.0,1.0,12,1,448.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
ORD-01204,CUST-0227,Alan Fletcher,fordkendra@example.org,63.0,Other,Colombia,2022-01-04,PRD-7809,SQL Mastery,Books,1,18.05,0,18.05,Credit Card,Standard,Delivered,,2022-01,0,1.0,1.0,18.05,0,0,2022.0,1.0,1,0,3.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
ORD-01175,CUST-0254,Jason Pitts,juan68@example.com,28.0,Other,Germany,2023-12-15,PRD-9229,Headphones,Electronics,1,525.22,15,446.437,Debit Card,Free Shipping,Delivered,5.0,2023-12,1,12.0,4.0,446.437,0,0,2023.0,4.0,50,0,713.0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
